,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price,block_timestamp,gas_cost,gas_cost_usd
0,4372,0xa226313fc6a2839b2247cd59aac4966b29b102af8f218e88cd7b6ff229d3d93c,0,141,0xe1daead9af1d3d502843759257626857406587d6,0x002dc30198433f26e16fd2fbb0029238a080a392,419387616345645897,58497,12545147647,0xf1c737aa000000000000000000000000fc4ac2c2f54896597e8ddd1121bbb733e7a6dad4,14094854,56244,,,1,15072717,0x93d653848c842e04560743ffa6449a0cbdea10d2beb4fcbc7fe04a963ee9525f,12545147647,1250000000,2,12545147647,1656892973,12.545147647,0.7846520698961965
1,4371,0xaf31f8d9fc5909b2abcb8234f05e8c71de6c38f0f5699191be1cf0760147de19,972,57,0xde1b3bb32d96ce2ae138c4adc1c630b442577d1e,0x2eb53bee3b552c52799226a8267f3bfdb9912dc0,0,69000,13713902990,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,4830547,46634,,,1,15072717,0x93d653848c842e04560743ffa6449a0cbdea10d2beb4fcbc7fe04a963ee9525f,23700000000,2400000000,2,13713902990,1656892973,13.71390299,1.0117609596815966
2,4370,0x64ae87b9642d7f16257ce7d801994b8af175406ff322e3f08dab6f94cb792016,0,139,0xad9f10fec8c3803215af5844774c15be5b1982f4,0x002dc30198433f26e16fd2fbb0029238a080a392,483894974566631248,58497,12563902990,0xf1c737aa000000000000000000000000d22a8d6e25609be320f5e83ad529426e506e1451,13982366,56244,,,1,15072717,0x93d653848c842e04560743ffa6449a0cbdea10d2beb4fcbc7fe04a963ee9525f,15368985371,1250000000,2,12563902990,1656892973,12.56390299,0.7858251464609896
3,66,0x3af57158eea048b9026f32fb31457631129b79b0c65a11567778564bcc95e7b8,45411,12,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,55303,300000,15606265628,0x,1056907,21000,,,1,15072726,0x7204a7a28921f5f340cd12183e0cd28e82277fcf093e97ec01df11f4fcbb8628,25744266238,5700552609,2,15606265628,1656893100,15.606265628,5.004713969733852
4,67,0x83070957d57cf14030aee85288062ecc3963522e9b170291287bd9d0cee06ebb,8452,3,0xc207c7b5a4735de955c4cf844e10be8c8034d760,0x5379b0683b7517df7f17bffb96504c3f038b7c64,0,336090,36780840527,0x00e5fdd6000000000000000016adf573613648190000000000000000000000016569573811b815efb8f581194ae79006d24e0d814b7697f6021f1a349a3397a8431eed8d94a05f88f9001117fcaa00000000000000000000494e91011d09011f29f0096512b4af1d689c1a11a867a6e707a8dcde00000000000000004d938ee43d2a8400000a,633673,235922,,,1,15072726,0x7204a7a28921f5f340cd12183e0cd28e82277fcf093e97ec01df11f4fcbb8628,36780840527,36780840527,2,36780840527,1656893100,36.780840527,13.214059337708635
5,331,0xd52e3e9baf99019ff599b8456192427312929f6987ffa2311d801394b4e2d01c,60937,76,0x6b113626451de75986d43f5fdf67fe7fdd777a92,0x00000000c2cf7648c169b25ef1c217864bfa38cc,0,610860,12082512217,0x000000ff00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000186000001000000000000de0b6b3a764000000306006901c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2a0b86991c6218b36c1d19d4a2e9eb0ce3606eb4888e6a0c2ddd26feeb64f039a2c41296fcb3f564000000000000077781d92408fac00000000000000010001f4000000000000000000000000000000000000000005007d0106df3b2bbb68adc8b0e302443692037ed9f91b42000000000000000000000063010200000000000000000e29241632b2000000000000000004b828e604e4a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48dac17f958d2ee523a2206206994597c13d831ec70000000000000000000000000000000000000000000006006901dac17f958d2ee523a2206206994597c13d831ec7c02aaa39b223fe8d0a0e5c4f27ead9083c756cc211b815efb8f581194ae79006d24e0d814b7697f600000000000000000002245f1385b9f260000000010001f40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6533828,33315,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,14807525626,2646628157,2,12082512217,1656893108,12.082512217,7.882685064547227
6,331,0xd52e3e9baf99019ff599b8456192427312929f6987ffa2311d801394b4e2d01c,60937,76,0x6b113626451de75986d43f5fdf67fe7fdd777a92,0x00000000c2cf7648c169b25ef1c217864bfa38cc,0,610860,12082512217,0x000000ff00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000186000001000000000000de0b6b3a764000000306006901c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2a0b86991c6218b36c1d19d4a2e9eb0ce3606eb4888e6a0c2ddd26feeb64f039a2c41296fcb3f564000000000000077781d92408fac00000000000000010001f4000000000000000000000000000000000000000005007d0106df3b2bbb68adc8b0e302443692037ed9f91b42000000000000000000000063010200000000000000000e29241632b2000000000000000004b828e604e4a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48dac17f958d2ee523a2206206994597c13d831ec70000000000000000000000000000000000000000000006006901dac17f958d2ee523a2206206994597c13d831ec7c02aaa39b223fe8d0a0e5c4f27ead9083c756cc211b815efb8f581194ae79006d24e0d814b7697f600000000000000000002245f1385b9f260000000010001f40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6533828,33315,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,14807525626,2646628157,2,12082512217,1656893108,12.082512217,7.8765312529022875
7,332,0xba3178769be7f8ef30c36b8e76d1c701e755e626a146dc423c509c526d07bc6f,8308,22,0x73f858acd93866902f59a8b53ab5f8ae1824c74b,0xbeefbabeea323f07c59926295205d3b7a17e8638,0,221230,34515330579,0x00000011c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2dac17f958d2ee523a2206206994597c13d831ec700000000000000000000000000000000000000000000000095cd62cf1145d00000000000000000000000000000000000000000000000000000000002afb8084500,1874631,102053,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,35656868839,25079446519,2,34515330579,1656893108,34.515330579,8.155137755751307
8,332,0xba3178769be7f8ef30c36b8e76d1c701e755e626a146dc423c509c526d07bc6f,8308,22,0x73f858acd93866902f59a8b53ab5f8ae1824c74b,0xbeefbabeea323f07c59926295205d3b7a17e8638,0,221230,34515330579,0x00000011c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2dac17f958d2ee523a2206206994597c13d831ec700000000000000000000000000000000000000000000000095cd62cf1145d00000000000000000000000000000000000000000000000000000000002afb8084500,1874631,102053,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,35656868839,25079446519,2,34515330579,1656893108,34.515330579,8.148771247223248
9,333,0x66ee5fb74a22f016c091bf5abe69fba8dab564078213433168ea228e3ebd4aa9,0,60,0x93f5b204e0d7061c197c8be342fb0cfb59c0675d,0x4945ce2d1b5bd904cac839b7fdabafd19cab982b,144050275489866000,21000,13605929054,0x,5392293,21000,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,13605929054,13605929054,2,13605929054,1656893108,13.605929054,0.30515658189805206
