,address,blockHash,blockNumber,data,logIndex,removed,topics,transactionHash,transactionIndex
0,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,b'\x13\x00\xc3\xb3\xcar\xfd\xdc\x83M\xfe\x92\xb3\xfe\x1a\xe6C\xe1\xe5x\xf2\x8e\xfc\xced[Hi\xba/\x0fw',15072716,0x000000000000000000000000000000000000000000000000000000001047011b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000385f6bd0d29bbe3,100,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x0000000000000000000000001111111254fb6c44bac0bed2854e76f90643097d'), HexBytes('0x0000000000000000000000001111111254fb6c44bac0bed2854e76f90643097d')]",b'\x807\xa1\xb9\xa2Uc\xdd\x0b\xd5L\xb1\xe1\xd2S\x0e\xd5=\xa7\xf1\x18\xcc\xac\xe6T\x1b\xbd}p\xcb\x94\xf7',13
1,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,b'\x93\xd6S\x84\x8c\x84.\x04V\x07C\xff\xa6D\x9a\x0c\xbd\xea\x10\xd2\xbe\xb4\xfc\xbc\x7f\xe0J\x96>\xe9R_',15072717,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000cc49a7a4f7de500000000000000000000000000000000000000000000000000000000003aa2510000000000000000000000000000000000000000000000000000000000000000,173,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45'), HexBytes('0x0000000000000000000000000978072097cbee1a3108ff693bd21c3b12935704')]","b'\x97\xbd\xcd\xad\xc2\xe5\x0e""{\x9d:\x06Or\x17\xe9\xe6\xf4\xbe;\x10\xff\xb9\xbeC\x8c\xcc\xf0\x0f\xcc\xa5\xc9'",104
2,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,"b""r\x04\xa7\xa2\x89!\xf5\xf3@\xcd\x12\x18>\x0c\xd2\x8e\x82'\x7f\xcf\t>\x97\xec\x01\xdf\x11\xf4\xfc\xbb\x86(""",15072726,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000094f53c2196cea80000000000000000000000000000000000000000000000000000000002abe2598d0000000000000000000000000000000000000000000000000000000000000000,24,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x000000000000000000000000beefbabeea323f07c59926295205d3b7a17e8638'), HexBytes('0x000000000000000000000000beefbabeea323f07c59926295205d3b7a17e8638')]","b'\xeb\x0b\xdc\xd4OV\xec\xf0s\x813\x9cm\x95\x9f\xe9\xa9\xfa4\xf5\xaf:\x07""\xad\xe0\x9d \xbc\xc3""\xf0'",11
3,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,"b""\xa9\xcb\xa4\x92\xbb\xa5>)!\xf8'\xf9\x9c)\xa5y\x80H\xd6\xb9P\x95K\xe7S\\\xf6\x8a\xa2\x9b\x9a!""",15072727,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017837be5e57ff100000000000000000000000000000000000000000000000000000000006bdbc719c0000000000000000000000000000000000000000000000000000000000000000,12,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x000000000000000000000000beefbabeea323f07c59926295205d3b7a17e8638'), HexBytes('0x000000000000000000000000beefbabeea323f07c59926295205d3b7a17e8638')]",b'J\x9f#\x0e\xa4\xb9\x06\xed\x98\x1ab\xca\xd5\x9b\xfe\xd1\xdb~\x81\x1f\xb8x\xf5\xd5\xd7\x89\x07\xe4n\xed\xe9\xe7',4
4,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,"b""\xa9\xcb\xa4\x92\xbb\xa5>)!\xf8'\xf9\x9c)\xa5y\x80H\xd6\xb9P\x95K\xe7S\\\xf6\x8a\xa2\x9b\x9a!""",15072727,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000574a95b2503bd60a00000000000000000000000000000000000000000000000000000001901943760000000000000000000000000000000000000000000000000000000000000000,16,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x000000000000000000000000a57bd00134b2850b2a1c55860c9e9ea100fdd6cf'), HexBytes('0x00000000000000000000000056178a0d5f301baf6cf3e1cd53d9863437345bf9')]","b""\xe5\xc1\xf3/\xfc8B\xb3\xcc\x1a\xa4\xfdZ8\\\x1aE\xfbB\x17\xda\xf9tc\xa6\xfa\xf2\n\x19\t'\xfe""",5
5,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,b'\xa0\x89\xfb\x1a\xaf\xe7w\xb5>\xf7~LE$t\xad\xe4\x16(\xef\x9d:]\xb5\xe7\xf1e\xb6\xa6\x83\xbb\x18',15072728,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005dcea37d1fef129000000000000000000000000000000000000000000000000000000001ade57d40000000000000000000000000000000000000000000000000000000000000000,418,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45'), HexBytes('0x0000000000000000000000009877026717be95c2aa1d95870bcc4f20304ce0ed')]",b'\xe3\xcd\x1b{\xb6\xf4\x8d\x91p}\x81\x88\xda\x8fw`\xce*}\xa6\xf8\xd36!\x1a=]\xe6f\xd2\xba\x91',172
6,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,b'I(\xcf\x13i\x89]\x86\xa1\x0c\xc8\xe2\x13\x01^\n\x99k\xa2\x8fbw\xae\xfc\x8b\xd5-\xa7U&\x9fD',15072730,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016345785d8a000000000000000000000000000000000000000000000000000000000000065c1b200000000000000000000000000000000000000000000000000000000000000000,506,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45'), HexBytes('0x0000000000000000000000001cc5471da02b055c343e4df0276228c0bda5ff81')]",b'{\xd5\xa4\xdeN\x86JS\xc8\x0e\xd36\xae\xff\xed\x80\xf9O\xf3Ff\xfd\xeb\x02\x16\x9aW!Re\x00\r',232
7,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,b'\xff\x92\xb4\x1a\x0f!\x81\x8f\x7f$\x96\xe7Q\xe6\xff\xf4Q\xb6^N2\xa4\x03\xad9\xd0\xd5\xefK\xdc\xda\xbe',15072733,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001803fac566a9c89c000000000000000000000000000000000000000000000000000000006e0d35cc0000000000000000000000000000000000000000000000000000000000000000,383,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45'), HexBytes('0x000000000000000000000000e574419157e25d690bc3c174584a83a3990dc1ed')]",b'=b!\xd5\xcdl\x9f\xf5l\x02\xb0\xa7g\xe9\x99m\x9a\xae\xbc\x12\xda\x9b\x13l\x7f=\x083O\x7f\x95\xba',184
8,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,b'^4\x10\xd2\xec\xd9o\xf4\xfe0\x8d<\x898g\x82\xf1\x84\x9d\x03\xfa\xd2u\xe9\xa6\xb7&\x92\xdd\xab\x13\xb6',15072734,0x0000000000000000000000000000000000000000000000000000000019975d5c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000058d1f80d73fb0d0,31,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45'), HexBytes('0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45')]",b'\x84\xff\x8fg=\x06P{\xc9(\xfa\xe6e\x07\x94\x95LA\\\xac\xecC\x80\x9f\xfd\xbf\x98.\xcf!\xcf7',10
9,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,b'^4\x10\xd2\xec\xd9o\xf4\xfe0\x8d<\x898g\x82\xf1\x84\x9d\x03\xfa\xd2u\xe9\xa6\xb7&\x92\xdd\xab\x13\xb6',15072734,0x000000000000000000000000000000000000000000000000000000007a3fc6c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a8451547adfbc97,128,False,"[HexBytes('0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822'), HexBytes('0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45'), HexBytes('0x00000000000000000000000076efea638426a85a868eac23d5efb34ba52156c1')]","b'\xee\x130\x8f\xa4x\x12""\xa1i\xc9c\xe7\x901\xc8s\x05||\xa2^\xeaj\xaf\xf3_\xf7\xd5i\xc2\xdb'",128
